"Table 1.12 Factors affecting occupational utilization, projected 2019–29",,,,
Occupation Title,Occupation Code,Industry Title,Industry Code,Factors affecting occupational utilization
Industrial machinery mechanics,49–9041,Semiconductor and other electronic component manufacturing,334400,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,"Navigational, measuring, electromedical, and control instruments manufacturing",334500,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Electric lighting equipment manufacturing,335100,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Household appliance manufacturing,335200,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Electrical equipment manufacturing,335300,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Other electrical equipment and component manufacturing,335900,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Motor vehicle manufacturing,336100,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Motor vehicle body and trailer manufacturing,336200,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Motor vehicle parts manufacturing,336300,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Aerospace product and parts manufacturing,336400,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Medical equipment and supplies manufacturing,339100,Demand change – share increases as automation in manufacturing will increase demand for these workers. 
Industrial machinery mechanics,49–9041,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,811300,Demand change – share increases as the increased automation leads to more equipment which needs to be maintained and repaired. 
"Maintenance workers, machinery",49–9043,Animal food manufacturing,311100,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Sugar and confectionery product manufacturing,311300,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Fruit and vegetable preserving and specialty food manufacturing,311400,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Dairy product manufacturing,311500,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Animal slaughtering and processing,311600,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Bakeries and tortilla manufacturing,311800,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Other food manufacturing,311900,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Beverage manufacturing,312100,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Apparel manufacturing,315000,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Other wood product manufacturing,321900,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,"Pulp, paper, and paperboard mills",322100,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Converted paper product manufacturing,322200,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Petroleum and coal products manufacturing,324000,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Pharmaceutical and medicine manufacturing,325400,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,"Chemical manufacturing (3255,6)",3250A2,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,"Chemical manufacturing (3251,2,3,9)",3250A1,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Plastics product manufacturing,326100,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Rubber product manufacturing,326200,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Nonmetallic mineral product manufacturing,327000,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Iron and steel mills and ferroalloy manufacturing,331100,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,"Fabricated metal product manufacturing (3323,4)",3320A2,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,"Fabricated metal product manufacturing (3321,2,5,6,9)",3320A1,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Commercial and service industry machinery manufacturing,333300,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Metalworking machinery manufacturing,333500,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,"Engine, turbine, and power transmission equipment manufacturing",333600,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,"Machinery manufacturing (3331,2,4,9)",3330A1,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Semiconductor and other electronic component manufacturing,334400,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Household appliance manufacturing,335200,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Electrical equipment manufacturing,335300,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Other electrical equipment and component manufacturing,335900,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Motor vehicle manufacturing,336100,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Motor vehicle parts manufacturing,336300,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Aerospace product and parts manufacturing,336400,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
"Maintenance workers, machinery",49–9043,Medical equipment and supplies manufacturing,339100,Demand change – share increases as increased automation in manufacturing increases demand for these workers to do maintenance and repairs. 
Millwrights,49–9044,"Veneer, plywood, and engineered wood product manufacturing",321200,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Other wood product manufacturing,321900,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,"Pulp, paper, and paperboard mills",322100,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Converted paper product manufacturing,322200,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Petroleum and coal products manufacturing,324000,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,"Chemical manufacturing (3255,6)",3250A2,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,"Chemical manufacturing (3251,2,3,9)",3250A1,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Plastics product manufacturing,326100,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Nonmetallic mineral product manufacturing,327000,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Iron and steel mills and ferroalloy manufacturing,331100,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Steel product manufacturing from purchased steel,331200,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Alumina and aluminum production and processing,331300,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,"Fabricated metal product manufacturing (3323,4)",3320A2,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,"Fabricated metal product manufacturing (3321,2,5,6,9)",3320A1,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Metalworking machinery manufacturing,333500,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,"Engine, turbine, and power transmission equipment manufacturing",333600,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,"Machinery manufacturing (3331,2,4,9)",3330A1,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Motor vehicle manufacturing,336100,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Motor vehicle parts manufacturing,336300,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,Aerospace product and parts manufacturing,336400,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
Millwrights,49–9044,"Furniture and related product manufacturing (3371,2)",3370A1,Demand change – share increases as automation in manufacturing increases demand for these workers to repair and service equipment. 
"Refractory materials repairers, except brickmasons",49–9045,Total employment,TE1000,Demand change – share decreases as more metal products are 3D printed. 
Telecommunications line installers and repairers,49–9052,Power and communication line and related structures construction,237130,"Demand change – share increases as deployment of 5G smart technology requires massive installations of fiber optic cable, small cells, and new routers in businesses and homes."
Telecommunications line installers and repairers,49–9052,Electrical contractors and other wiring installation contractors,238210,"Demand change – share increases as deployment of 5G smart technology requires massive installations of fiber optic cable, small cells, and new routers in businesses and homes. "
Telecommunications line installers and repairers,49–9052,Telecommunications,517000,"Demand change – share increases as deployment of 5G smart technology requires massive installations of fiber optic cable, small cells, and new routers in businesses and homes."
Watch and clock repairers,49–9064,Total employment,TE1000,Demand change – share decreases as demand for watch repair services declines due to changes in technology such as cell phones and smart watches.
Wind turbine service technicians,49–9081,Wind electric power generation,221115,Demand change – share increases as wind electricity generation capacity continues to grow and age in the coming decade. Older equipment often needs additional maintenance. 
Wind turbine service technicians,49–9081,Power and communication line and related structures construction,237130,Demand change – share increases as wind electricity generation grows rapidly in the coming decade. 
Wind turbine service technicians,49–9081,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,811300,Demand change – share increases as wind electricity generation grows rapidly in the coming decade. 
"Coin, vending, and amusement machine servicers and repairers",49–9091,Gambling industries (except casino hotels),713200,Demand change – share decreases as casinos continue replacing coin operated machines with electronic machines that dispense paper receipts.
"Coin, vending, and amusement machine servicers and repairers",49–9091,Casino hotels,721120,Demand change – share decreases as casinos continue replacing coin operated machines with electronic machines that dispense paper receipts.
Locksmiths and safe repairers,49–9094,Total employment,TE1000,"Demand change – share decreases as new smart locks, apps on smart phones, key kiosks, and voice–activated locks reduce the need to hire a locksmith to open locks or create key copies."
Locksmiths and safe repairers,49–9094,Security systems services,561620,"Demand change – share decreases as new smart locks, apps on smart phones, key kiosks, and voice–activated locks reduce the need to hire a locksmith to open locks or create key copies."
Manufactured building and mobile home installers,49–9095,Total employment,TE1000,"Demand change – share decreases as Dodd-Frank rules make it likely that loans for mobile home purchases will be characterized as high-risk, therefore increasing the costs to banks and customers of offering and securing these types of loans. Therefore, as access to financing and credit decreases and dries up, the demand for workers to install these types of homes will decrease. "
First-line supervisors of production and operating workers,51–1011,Animal food manufacturing,311100,Productivity change – share decreases as animal food manufacturers adopt automated parts of the production processing and employ fewer production workers. 
"Aircraft structure, surfaces, rigging, and systems assemblers",51–2011,Total employment,TE1000,"Productivity change – share decreases as collaborative robotics increase efficiency, allowing more output to be produced with the same amount of labor."
"Coil winders, tapers, and finishers",51–2021,Total employment,TE1000,"Productivity change – share decreases as collaborative robotics increase efficiency, allowing more output to be produced with the same amount of labor."
Engine and other machine assemblers,51–2031,Total employment,TE1000,"Productivity change – share decreases as collaborative robotics increase efficiency, allowing more output to be produced with the same amount of labor."
Structural metal fabricators and fitters,51–2041,Total employment,TE1000,"Productivity change – share decreases as collaborative robotics increase efficiency, allowing more output to be produced with the same amount of labor."
Timing device assemblers and adjusters,51–2061,Total employment,TE1000,"Productivity change – share decreases as collaborative robotics increase efficiency, allowing more output to be produced with the same amount of labor."
Miscellaneous assemblers and fabricators,51–2090,Total employment,TE1000,"Productivity change – share decreases as collaborative robotics increases efficiency, allowing more output to be produced with the same amount of labor. "
Miscellaneous assemblers and fabricators,51–2090,Motor vehicle manufacturing,336100,"Productivity change – share decreases as collaborative robotics increases efficiency, allowing more output to be produced with the same amount of labor. "
Miscellaneous assemblers and fabricators,51–2090,Motor vehicle body and trailer manufacturing,336200,"Productivity change – share decreases as collaborative robotics increases efficiency, allowing more output to be produced with the same amount of labor. "
Miscellaneous assemblers and fabricators,51–2090,Motor vehicle parts manufacturing,336300,"Productivity change – share decreases as collaborative robotics increase efficiency, allowing more output to be produced with the same amount of labor. "
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51–4021,Total employment,TE1000,"Productivity change – share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Forging machine setters, operators, and tenders, metal and plastic",51–4022,Total employment,TE1000,"Productivity change – share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Rolling machine setters, operators, and tenders, metal and plastic",51–4023,Total employment,TE1000,"Productivity change – share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51–4031,Total employment,TE1000,"Productivity change – share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51–4032,Total employment,TE1000,"Productivity change – share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51–4033,Total employment,TE1000,"Productivity change – share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51–4034,Total employment,TE1000,"Productivity change – share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers."
"Milling and planing machine setters, operators, and tenders, metal and plastic",51–4035,Total employment,TE1000,"Productivity change – share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Pourers and casters, metal",51–4052,Total employment,TE1000,"Productivity change – share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Model makers, metal and plastic",51–4061,Total employment,TE1000,"Productivity change – share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Patternmakers, metal and plastic",51–4062,Total employment,TE1000,"Productivity change – share decreases as some patternmaking tasks are done by programmable computer controlled machinery, requiring fewer of these workers."
Foundry mold and coremakers,51–4071,Total employment,TE1000,"Productivity change – share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51–4072,Total employment,TE1000,"Productivity change – share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
Tool and die makers,51–4111,Converted paper product manufacturing,322200,"Productivity change – share decreases as manufacturers use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
Tool and die makers,51–4111,Plastics product manufacturing,326100,"Productivity change – share decreases as manufacturers use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
Tool and die makers,51–4111,Foundries,331500,"Productivity change – share decreases as manufacturers use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
Tool and die makers,51–4111,Machine shops,332710,"Productivity change – share decreases as manufacturers use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
Tool and die makers,51–4111,"Turned product and screw, nut, and bolt manufacturing",332720,"Productivity change – share decreases as manufacturers use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
Tool and die makers,51–4111,"Fabricated metal product manufacturing (3321,2,5,6,9)",3320A1,"Productivity change – share decreases as manufacturers use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
Tool and die makers,51–4111,Metalworking machinery manufacturing,333500,"Productivity change – share decreases as manufacturers use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
Tool and die makers,51–4111,"Machinery manufacturing (3331,2,4,9)",3330A1,"Productivity change – share decreases as manufacturers use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
Tool and die makers,51–4111,Motor vehicle manufacturing,336100,"Productivity change – share decreases as manufacturers to use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers."
Tool and die makers,51–4111,Motor vehicle parts manufacturing,336300,"Productivity change – share decreases as manufacturers to use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
Tool and die makers,51–4111,Aerospace product and parts manufacturing,336400,"Productivity change – share decreases as manufacturers use software programs to perform some functions, such as specification analyses or setting up machines for cutting metal, tasks typically performed by tool and die makers, allowing the same amount of output to be produced by fewer tool and die makers. "
"Welding, soldering, and brazing machine setters, operators, and tenders",51–4122,Motor vehicle parts manufacturing,336300,"Productivity change – share decreases as usage of programmable machines such as computer controlled machinery increases, resulting in fewer workers needed to perform the tasks."
"Welding, soldering, and brazing machine setters, operators, and tenders",51–4122,Total employment,TE1000,"Productivity change – share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Heat treating equipment setters, operators, and tenders, metal and plastic",51–4191,Total employment,TE1000,"Productivity change – share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Layout workers, metal and plastic",51–4192,"Fabricated metal product manufacturing (3323,4)",3320A2,Capital/labor substitution – share decreases as the integration of programmable processes and equipment results in the replacement of workers. 
"Layout workers, metal and plastic",51–4192,Aerospace product and parts manufacturing,336400,Capital/labor substitution – share decreases as the integration of programmable processes and equipment results in the replacement of workers. 
"Layout workers, metal and plastic",51–4192,Ship and boat building,336600,Capital/labor substitution – share decreases as the integration of programmable processes and equipment results in the replacement of workers. 
"Plating machine setters, operators, and tenders, metal and plastic",51–4193,Total employment,TE1000,"Productivity change – share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines. As a result, this will increase efficiency, allowing more output to be produced with the same amount of labor."
"Tool grinders, filers, and sharpeners",51–4194,Metalworking machinery manufacturing,333500,"Productivity change – share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers. "
"Tool grinders, filers, and sharpeners",51–4194,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,811300,"Productivity change – share decreases as some tasks in tool grinding are programmed, requiring fewer of these workers. "
"Metal workers and plastic workers, all other",51–4199,Total employment,TE1000,"Productivity change – share decreases as the tasks of these machine operators are supplanted by programmable computer controlled machinery, requiring fewer of these workers."
Prepress technicians and workers,51–5111,Printing and related support activities,323000,Productivity change – share decreases as software and hardware improvements increase the productivity of workers. 
Prepress technicians and workers,51–5111,Newspaper publishers,511110,Productivity change – share decreases as software and hardware improvements increase the productivity of workers. 
"Pressers, textile, garment, and related materials",51–6021,Drycleaning and laundry services,812300,"Demand change – share decreases as demand declines due to the acceptance of casual dress in lieu of business attire, meaning less demand for dry cleaned and pressed clothes. "
Nuclear power reactor operators,51–8011,Total employment,TE1000,Productivity change – share decreases as improved equipment monitoring systems reduce the need to manually check plant equipment. 
Power distributors and dispatchers,51–8012,Total employment,TE1000,Productivity change – share decreases as improved equipment monitoring systems reduce the need to manually check plant equipment. 
Power plant operators,51–8013,Total employment,TE1000,Productivity change – share decreases as improved equipment monitoring systems reduce the need to manually check plant equipment. 
Power plant operators,51–8013,Fossil fuel electric power generation,221112,Productivity change – share decreases as improved equipment monitoring systems reduce the need to manually check plant equipment. 
Water and wastewater treatment plant and system operators,51–8031,Total employment,TE1000,Productivity change – share decreases as improved equipment monitoring systems reduce the need to manually check plant equipment. 
Chemical plant and system operators,51–8091,"Chemical manufacturing (3251,2,3,9)",3250A1,"Productivity change – share decreases as process automation systems (PAS) will allow operators to make decisions faster and be more responsive, increasing plant efficiency and limiting time where production is less than optimized. "
"Crushing, grinding, and polishing machine setters, operators, and tenders",51–9021,Total employment,TE1000,Demand change – share decreases as machines are becoming capable of more functionalities and are more integrated with each other. 
"Crushing, grinding, and polishing machine setters, operators, and tenders",51–9021,Animal food manufacturing,311100,"Productivity change – share decreases as new technologies that fully automate processing require fewer setters, operators, and tenders. "
"Grinding and polishing workers, hand",51–9022,Total employment,TE1000,Capital/labor substitution – share decreases as automation increases capacity and reduces the need for as many manual workers. 
"Mixing and blending machine setters, operators, and tenders",51–9023,Animal food manufacturing,311100,"Productivity change – share decreases as new technologies, including data usage and machine connectivity (integration) in the production process, are used in monitoring and adjusting production process. "
"Mixing and blending machine setters, operators, and tenders",51–9023,Other food manufacturing,311900,"Productivity change – share decreases as greater integration of manufacturing processes will allow mixing and blending machine setters, operators, and tenders to do more with fewer workers. "
"Cutters and trimmers, hand",51–9031,Total employment,TE1000,Capital/labor substitution – share decreases as improved integration of systems and precision reduce the need for cutters and trimmers. 
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51–9041,Animal food manufacturing,311100,"Productivity change – share decreases as new technologies, automation, and the use of data in the production processes will require fewer setters, operators, and tenders. "
"Inspectors, testers, sorters, samplers, and weighers",51–9061,Total employment,TE1000,Productivity change – share decreases as 3D scanning and related technologies increase productivity by enabling more accurate measurements/inspections in a shorter period of time by fewer inspectors. 
Dental laboratory technicians,51–9081,Medical equipment and supplies manufacturing,339100,"Demand change – share increases as an aging population requires more dental products, such as dentures, creating increased demand for dental laboratory technicians who make these products. "
Medical appliance technicians,51–9082,Medical equipment and supplies manufacturing,339100,Demand change – share increases as an aging population needs more medical devices like braces and prosthetics. 
Ophthalmic laboratory technicians,51–9083,Medical equipment and supplies manufacturing,339100,Demand change – share increases as an aging population means more demand for contact lenses and glasses.
Packaging and filling machine operators and tenders,51–9111,Animal food manufacturing,311100,"Productivity change – share decreases as automated filling, bagging, packing, and palletizing equipment is used in new facilities and will require fewer operators and tenders. "
Photographic process workers and processing machine operators,51–9151,General merchandise stores,452000,Demand change – share decreases as better technology allows consumers to easily print their own photos instead of relying on a service. People also print fewer photos and store them on computer or online.
Photographic process workers and processing machine operators,51–9151,Pharmacies and drug stores,446110,Demand change – share decreases as technology allows consumers to easily print their own photos instead of relying on a service. People also print fewer photos and store them on computer or online. 
Photographic process workers and processing machine operators,51–9151,Other personal services,812900,Demand change – share decreases as technology allows consumers to easily print their own photos instead of relying on a service. People also print fewer photos and store them on computer or online. 
Computer numerically controlled tool operators,51–9161,Total employment,TE1000,"Productivity change – share decreases as computer-controlled machine tool programmers are able to control more machines at once, which means fewer operators are needed to handle them. "
Computer numerically controlled tool programmers,51–9162,Total employment,TE1000,"Demand change – share increases as manufacturers increase efficiency through more computer numerically controlled, automated, and programmable machines requiring programming by these workers. "
Helpers--production workers,51–9198,Animal food manufacturing,311100,"Productivity change – share decreases as new technologies fully automate parts of the packaging, casing, and palletizing lines. "
Helpers--production workers,51–9198,Temporary help services,561320,Demand change – share increases as the lower cost and flexibility of hiring contracted temporary workers supplement a lack of highly experienced workers as baby boomers retire and more young people opt to attend college. 
"First–line supervisors of transportation and material–moving workers, except aircraft cargo handling supervisors",53–1047,Warehousing and storage,493000,"Capital/labor substitution – share decreases as increased use of automated guided vehicles requires fewer operators, resulting in fewer supervisors. "
Air traffic controllers,53–2021,"Federal government, excluding postal service",999100,Demand change – share increases as air traffic volume is expected to increase over the period. 
Flight attendants,53–2031,Scheduled air transportation,481100,"Demand change – share increases as airlines continue to replace smaller planes with larger aircraft or add more seats to the existing planes, which will result in more flight attendants on average per aircraft. "
Driver/sales workers,53–3031,Vending machine operators,454200,Sourcing change – share decreases as technological improvements in vending machines provide automatic reporting (back to supply chain) and thus allow drivers to deliver wares to more machines on a single route.
Driver/sales workers,53–3031,Full-service restaurants,722511,Sourcing change – share decreases as restaurant food delivery will increasingly be handled by delivery companies that utilize smartphone apps and classify workers as independent contractors.
Light truck drivers,53–3033,Couriers and express delivery services,492100,Demand change – share increases as continued e–commerce growth results in greater volumes of home delivery which requires more drivers relative to other occupations.
"Passenger vehicle drivers, except bus drivers, transit and intercity",53–3058,School and employee bus transportation,485400,Sourcing change – share increases as more school districts contract out bus transportation. 
"Passenger vehicle drivers, except bus drivers, transit and intercity",53–3058,Elementary and secondary schools; local,611103,Sourcing change – share decreases as more local schools contract out bus transportation. 
"Railroad brake, signal, and switch operators and locomotive firers",53–4022,Rail transportation,482000,"Capital/labor substitution – share decreases as the tasks of watching for rights-of-way, train signals, and looking out for obstructions will be automatically handled by Positive Train Control (PTC). "
Parking attendants,53–6021,Other personal services,812900,Capital/labor substitution – share decreases as automated parking machines replace the tasks previously done by human parking attendants. 
Conveyor operators and tenders,53–7011,"Merchant wholesalers, durable goods (4232,3,5,6,7,9)",4230A1,Productivity change – share decreases as firms use technology to supplant some functions of these operators.
Conveyor operators and tenders,53–7011,Warehousing and storage,493000,"Productivity change – share decreases as firms use technology to supplant some functions of these operators."
Crane and tower operators,53–7021,Support activities for water transportation,488300,Capital/labor substitution – share decreases as increased ship sizes are causing ports to automate their operations in order to meet shipping schedules and demand.
Hoist and winch operators,53–7041,Support activities for water transportation,488300,Capital/labor substitution – share decreases as increased ship sizes are causing ports to automate their operations in order to meet shipping schedules and demand. 
Industrial truck and tractor operators,53–7051,Warehousing and storage,493000,Capital/labor substitution – share decreases as the increased use of automated guided vehicles replaces these operators.
"Laborers and freight, stock, and material movers, hand",53–7062,Animal food manufacturing,311100,"Capital/labor substitution – share decreases as automated filling, bagging, packing, and palletizing equipment is used in new facilities and will require fewer laborers."
"Packers and packagers, hand",53–7064,Animal food manufacturing,311100,"Capital/labor substitution – share decreases as automated filling, bagging, packing, and palletizing equipment is used in new facilities instead of hand packers."
